2021-04-26 13:28:05,088 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:05,088 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.UP.
2021-04-26 13:28:05,247 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,248 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=42).
2021-04-26 13:28:05,280 | DEBUG | games._environment_action:75 | Starting episode 9.
2021-04-26 13:28:05,371 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,372 | DEBUG | arenas.step_forward:108 | Champion ClaretWolfController entered tile Coords(x=43, y=74).
2021-04-26 13:28:05,408 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,408 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=47).
2021-04-26 13:28:05,450 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:05,450 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.RIGHT.
2021-04-26 13:28:05,486 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:05,486 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.UP.
2021-04-26 13:28:05,535 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_RIGHT.
2021-04-26 13:28:05,535 | DEBUG | characters.turn_right:73 | Champion Krowa1233ControllerKrowka is now facing Facing.RIGHT.
2021-04-26 13:28:05,692 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,693 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=43).
2021-04-26 13:28:05,730 | DEBUG | games._environment_action:75 | Starting episode 10.
2021-04-26 13:28:05,730 | DEBUG | arenas.increase_mist:125 | Radius of mist-free space decreased to 140.
2021-04-26 13:28:05,783 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.TURN_LEFT.
2021-04-26 13:28:05,783 | DEBUG | characters.turn_left:68 | Champion ClaretWolfController is now facing Facing.DOWN.
2021-04-26 13:28:05,825 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,826 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=46).
2021-04-26 13:28:05,867 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:05,867 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.DOWN.
2021-04-26 13:28:05,906 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:05,906 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.RIGHT.
2021-04-26 13:28:05,957 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.STEP_FORWARD.
2021-04-26 13:28:05,958 | DEBUG | arenas.step_forward:108 | Champion Krowa1233ControllerKrowka entered tile Coords(x=62, y=72).
2021-04-26 13:28:06,133 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:06,133 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=44).
2021-04-26 13:28:06,177 | DEBUG | games._environment_action:75 | Starting episode 11.
2021-04-26 13:28:06,218 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:06,219 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:06,267 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:06,268 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=45).
2021-04-26 13:28:06,317 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:06,317 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.LEFT.
2021-04-26 13:28:06,358 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:06,359 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.DOWN.
2021-04-26 13:28:06,395 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:06,396 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.UP.
2021-04-26 13:28:06,567 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:06,567 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=45).
2021-04-26 13:28:06,595 | DEBUG | games._environment_action:75 | Starting episode 12.
2021-04-26 13:28:06,639 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:06,639 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:06,675 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:06,675 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=44).
2021-04-26 13:28:06,722 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.STEP_FORWARD.
2021-04-26 13:28:06,722 | DEBUG | arenas.step_forward:108 | Champion BotElkaZ nami na pewno zdasz entered tile Coords(x=65, y=10).
2021-04-26 13:28:06,770 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_LEFT.
2021-04-26 13:28:06,770 | DEBUG | characters.turn_left:68 | Champion BBBotControllerBartek is now facing Facing.RIGHT.
2021-04-26 13:28:06,873 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_RIGHT.
2021-04-26 13:28:06,873 | DEBUG | characters.turn_right:73 | Champion Krowa1233ControllerKrowka is now facing Facing.RIGHT.
2021-04-26 13:28:07,028 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,028 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=46).
2021-04-26 13:28:07,061 | DEBUG | games._environment_action:75 | Starting episode 13.
2021-04-26 13:28:07,099 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.TURN_LEFT.
2021-04-26 13:28:07,099 | DEBUG | characters.turn_left:68 | Champion ClaretWolfController is now facing Facing.RIGHT.
2021-04-26 13:28:07,149 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:07,149 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=43).
2021-04-26 13:28:07,194 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:07,195 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.UP.
2021-04-26 13:28:07,253 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:07,254 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.DOWN.
2021-04-26 13:28:07,305 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:07,305 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.UP.
